Model_FU.,A1,A2,A3,A4,A5,No,,,,,,,,,,,,CTE [300K],CTE [1100K],CTE [1250K],Lat. a[A],Lat. b[A],Lat. c[A],Vol.[A3],Den.[cm3/g],VASP.E[eV/atom],Form.E[eV/atom],Coh.E[eV/atom],ZPE[kJ/mol],DebyeT.[K],Bulk(B_H)[GPa],Shear(G_H)[GPa],Young(E_H)[GPa],Hv:Super-hard(>5GPa),Melting_P.[K],Min. TC:[W/mK],Poisson's_R,Pugh's_C.[G/B]
Al4Co4Sc4Fe4Ni4,Al,Co,Sc,Fe,Ni,5,1.718,0.207595761,151.8,0.138333647,13.38151058,325.122,325.122,395.656,53.23011306,53.23011306,79.12694196,17.5427,18.7232,18.7457,5.952565,5.493348,8.603435,279.659054,5.829,-127.226459,-0.214,-4.832,16.78,358.7,104.97,39.02,104.06,4.001,1014.99,0.8744,0.335,0.372
Al4Co4Ti4Fe4Ni4,Al,Co,Ti,Fe,Ni,5,1.754,0.150013333,150.2,0.124228003,13.38151058,317.958,317.958,383.9,54.36864295,54.36864295,60.97514248,12.0339,13.1665,13.1885,5.544626,5.874379,7.612305,247.894614,6.654,-134.120374,-0.241,-5.104,19.78,422.9,168.08,56.93,152.43,4.703,1360.02,1.0734,0.348,0.339
Al4Co4V4Fe4Ni4,Al,Co,V,Fe,Ni,5,1.772,0.126870012,149.2,0.116197496,13.38151058,319.542,319.542,350.79,53.79133811,53.79133811,49.97532791,13.0395,14.4153,14.4421,5.495759,5.772486,7.461017,236.615503,7.057,-137.137882,-0.161,-5.019,20.91,447.2,160.58,65.92,172.82,6.495,1410.27,1.1449,0.319,0.411
Al4Co4Cr4Fe4Ni4,Al,Co,Cr,Fe,Ni,5,1.778,0.120565335,148.2,0.10900308,13.38151058,317.142,317.142,348.39,54.73526885,54.73526885,52.44011251,14.036,15.6337,15.665,5.573715,5.757232,7.290884,233.843598,7.171,-137.46653,-0.071,-4.667,21.7,464,149.72,72.05,185.5,8.272,1312.82,1.186,0.293,0.481
Al4Co4Fe4Mn4Ni4,Al,Co,Fe,Mn,Ni,5,1.756,0.147186956,147.2,0.102884756,13.38151058,437.192,437.192,468.44,233.1678911,233.1678911,215.9134929,14.7492,16.3948,16.427,4.399862,6.719275,8.854138,232.916523,7.283,-136.944401,-0.151,-4.698,21.49,459.6,143.52,71.73,183.88,8.617,1550.12,1.1747,0.286,0.5
Al4Co4Cu4Fe4Ni4,Al,Co,Cu,Fe,Ni,5,1.846,0.130322676,144,0.093685678,13.38151058,331.24,331.24,362.488,55.2617792,55.2617792,43.89545963,14.3367,15.6327,15.6577,5.659788,5.772575,7.225406,236.005529,7.43,-114.941657,-0.104,-4.582,19.39,414.7,148.62,59.51,156.94,5.858,1290.57,1.0651,0.323,0.4
Al4Co4Zn4Fe4Ni4,Al,Co,Zn,Fe,Ni,5,1.776,0.122572428,143.4,0.094139677,13.38151058,312.24,312.24,389.126,57.86505197,57.86505197,68.64382058,14.7938,16.0567,16.081,5.6118,5.854569,7.374188,242.15052,7.292,-104.582745,-0.111,-4.109,18.86,403.2,141.12,56.17,148.01,5.591,1226.64,1.0263,0.324,0.398
Al4Co4Y4Fe4Ni4,Al,Co,Y,Fe,Ni,5,1.69,0.257449024,157.4,0.193439209,13.38151058,331.89,331.89,404.802,55.63163884,55.63163884,94.89073198,17.6342,18.2998,18.3122,5.969463,5.620286,9.316537,310.269198,6.194,-126.901389,-0.161,-4.803,12.61,269.6,96.97,24.78,68.38,1.897,982.49,0.6416,0.382,0.256
Al4Co4Zr4Fe4Ni4,Al,Co,Zr,Fe,Ni,5,1.712,0.218027521,156.2,0.181276356,13.38151058,323.582,323.582,393.13,53.15199992,53.15199992,74.97585345,13.773,14.6909,14.7084,5.916337,5.499328,8.669091,280.301614,6.912,-136.508602,-0.224,-5.254,16.7,357,133.38,45.75,123.08,4.083,1205.89,0.872,0.346,0.343
Al4Co4Nb4Fe4Ni4,Al,Co,Nb,Fe,Ni,5,1.766,0.133955216,154.6,0.16524463,13.38151058,324.95,324.95,356.198,53.21255153,53.21255153,45.79981022,12.0079,12.8471,12.8631,5.662421,5.902627,7.745681,258.8482,7.528,-141.316809,-0.125,-5.308,17.09,365.5,165.23,49.28,133.56,3.668,1314.26,0.9178,0.364,0.298
